Mineral,Category,Group,Formula,IMA status,Crystal system,Crystal class,Space group,Color,Crystal habit,Twinning,Cleavage,Fracture,Mohs scale,Luster,Streak,Diaphaneity,Specific gravity,Optical properties,Refractive index,Birefringence,Paleochroism,Melting point,Solubility,Common impurities,Other characteristics
Allanite,Sorosilicates,P21/m,"(Ce,Ca,Y,La)2(Al,Fe+3)3(SiO4)3(OH)",Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,Brown to black,"Crystals tabular, prismatic to acicular; granular, massive; commonly metamict","Polysynthetic, common on {100}",Imperfect to poor,Conchoidal to uneven,5.5–6,"Vitreous, resinous to submetallic",Grey,Translucent to opaque,3.5–4.2,Biaxial (−),"nα= 1.715–1.791,nβ= 1.718–1.815,nγ= 1.733–1.822",δ = 0.018–0.031,"X= pale olive-green, reddish brown;Y= dark brown, brownish yellow;Z= dark reddish brown, greenish brown",Unknown,Unknown,Unknown,Radioactiveif uranium and/or thorium-rich
Allanpringite,Phosphate mineral,P21/n,498.07 g/mol,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,Pale brownish yellow,Acicular,Unknown,"{hk0} perfect, {010} good",Irregular/uneven,3,Vitreous,Pale yellowish white,Translucent to transparent,"2.54 (meas.), 2.583 (calc.)",Biaxial (+),nα= 1.662nβ= 1.675nγ= 1.747,0.085,Unknown,Unknown,Unknown,Unknown,Unknown
Allantoin,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Allargentum,Sulfide mineral,P63/mmc,Ag1−xSbx,Unknown,Hexagonal,Dihexagonal dipyramidal (6/mmm)H-M symbol: (6/m 2/m 2/m),Unknown,Silver gray,Unknown,Unknown,Unknown,Unknown,4,Metallic,Unknown,Opaque,"10.0 (meas.), 10.12 (calc.)",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Alleghanyite,NesosilicatesHumite group,P21/a,492.87 g/mol,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,"Brown, bright pink, grayish pink, white",Granular; anhedral to subhedral crystals in matrix,Unknown,None,Conchoidal,5–6,Vitreous,Unknown,Transparent to translucent,"4 (meas.), 4.11 (calc.)",Biaxial (−),nα= 1.756nβ= 1.78nγ= 1.792,0.036,Unknown,Unknown,Unknown,Unknown,Non-fluorescent
Allendeite,Oxide minerals,R3,Sc4Zr3O12,Unknown,Trigonal,Rhombohedral (3)H–M Symbol: (3),Unknown,Unknown,"Microscopic crystals, inclusions",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4.84 (calculated),Unknown,2.14 (calculated),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Alloclasite,Minerals,Unknown,"(Co,Fe)AsS",Unknown,Unknown,Unknown,Unknown,Steel gray to silver,Unknown,Unknown,Unknown,"Irregular/Uneven, Sub-Conchoidal",5,Metallic,Nearly black,Opaque,5.95,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Allophane,Phyllosilicateminerals,Unknown,Al2O3·(SiO2)1.3-2·(2.5-3)H2O,Unknown,Amorphous,Unknown,Unknown,"White, pale blue to sky-blue, green, brown, yellow",Crusts and masses,Unknown,None,Conchoidal,3,Waxy to earthy,White,"Transparent, translucent",2.8,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Alloriite,Tectosilicateminerals,Trigonal,Na5K1.5(Al6Si6O24)(SO4)(OH)0.5* H2O,Unknown,Trigonal,Ditrigonal Pyramidal-3m,Unknown,Colorless to pale violet,Unknown,Unknown,Imperfect parallel to {1010},Unknown,5.0,Vitreous,White,Unknown,2.35,Unknown,Unknown,δ = 0.002,Unknown,1540 °C,Unknown,Unknown,Unknown
Alluaivite,"Silicate mineral,Cyclosilicate",R3m,"Na19(Ca,Mn)6(Ti,Nb)3Si26O74Cl·2H2O",Unknown,Trigonal,Hexagonal scalenohedral (3m)H-M symbol: (32/m),Unknown,Colorless to weak brownish pink,irregular accumulations,Unknown,None,Conchoidal,5–6,Vitreous,White,Transparent,Unknown,Uniaxial (+),"nω = 1.62, nε = 1.63 (approximated)",Unknown,"Colorless to pink (W), pink (E)",Unknown,Unknown,"Sr, REE, K, Ba, Zr",Unknown
Alluaudite,Phosphate minerals,C2/c,"(Na,Ca)Mn2+(Fe3+,Mn2+,Fe2+,Mg)2(PO4)3",Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,"Dirty yellow to brownish yellow, grayish green; superficially dull greenish black, brownish black, black, when altered","Platy to radiating fibrous, nodular, granular, massive",Polysynthetic,"Distinct/ good on {100} and {010}, good on {110}",Unknown,5 – 5.5,Unknown,Brownish yellow,Translucent,3.4 – 3.5,Biaxial (+),nα= 1.782 nβ= 1.802 nγ= 1.835,δ = 0.053,"X = pale olive-green, straw-yellow to greenish yellow; Z = pale olive-greenish to brownish yellow",Unknown,Unknown,Unknown,Unknown
Almandine,Nesosilicate,Ia3d,Fe2+3Al2Si3O12,Unknown,Cubic,Hexoctahedral (m3m)H–M symbol: (4/m32/m),Unknown,"reddish orange to red, slightly purplish red to reddish purple and usually dark in tone",Unknown,Unknown,none,conchoidal[2],7.0–7.5,vitreous to subadamantine[2],white,Unknown,4.05+0.25−0.12[2],"Single refractive, and often anomalous double refractive[2]",1.790±0.030[2],none,none,Unknown,Unknown,Unknown,Unknown
Almarudite,Minerals,Unknown,"K([ ],Na)2(Mn2+,Fe2+,Mg)2(Be,Al)3[Si12O30]",Unknown,Unknown,Unknown,Unknown,Yellow to orange,Unknown,Unknown,None Observed,Irregular/Uneven,6,Vitreous,Pale orange,"Transparent, Translucent",2.714,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Alpeite,Minerals,Unknown,Ca4Mn3+2Al2(Mn3+Mg)(SiO4)2(Si3O10)(V5+O4)(OH)6,Unknown,Unknown,Unknown,Unknown,Brownish red,Unknown,Unknown,Unknown,Unknown,5.5-6,"Vitreous, Silky",Beige,Transparent,3.374,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Alpersite,Minerals,Unknown,"(Mg,Cu)[SO4]·7H2O",Unknown,Unknown,Unknown,Unknown,"Blue, pale blue, whitish, turquoise",Unknown,Unknown,Unknown,Irregular/Uneven,2.5,Vitreous,White,Transparent,1.820,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Alsakharovite-Zn,Minerals,Unknown,"NaSrKZn(Ti,Nb)4(Si4O12)2(O,OH)4·7H2O",Unknown,Unknown,Unknown,Unknown,"White, light brown, colourless",Unknown,Unknown,None Observed,Irregular/Uneven,5,Vitreous,White,"Transparent, Translucent",2.9,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Alstonite,Carbonate mineral,Unknown,297.42 g/mol[3],Unknown,TriclinicUnknown space group,Unknown,Unknown,Unknown,"Steep pseudohexagonal dipyramids, pseudo-orthorhombic",Common on pseudo-orthorhombic {110} and {310}[4],Imperfect on pseudo-orthorhombic {110}[4],Uneven,4 to 4.5,Unknown,White,Transparent to translucent,3.70,Biaxial (−),nα= 1.526 nβ= 1.671 nγ= 1.672,δ = 0.146,None,Unknown,Soluble in dilute HCl,Unknown,Not radioactive
Altaite,Telluride mineral,Fm3m,334.8 g/mol,Unknown,Isometric,Hexoctahedral (m3m)H-M symbol: (4/m32/m),Unknown,tin white to yellowish white; tarnishing to bronze yellow,include cubic and octahedral crystals; but much more commonly found in massive and granular forms,Unknown,perfect in three directions forming cubes,Uneven,2.5 – 3,metallic,Black,Unknown,8.2 – 8.3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Alterite,Minerals,Unknown,Zn2Fe3+4(SO4)4(C2O4)2(OH)4·17H2O,Unknown,Unknown,Unknown,Unknown,Yellow-green,Unknown,Unknown,Unknown,Unknown,Unknown,Vitreous,Unknown,Transparent,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Althausite,Phosphate minerals,Pnma,"Mg2(PO4)(OH,F)",Unknown,Orthorhombic,Dipyramidal (mmm)H-M symbol: (2/m 2/m 2/m),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Althupite,Minerals,Unknown,AlTh(UO2)7(PO4)4O2(OH)5·15H2O,Unknown,Unknown,Unknown,Unknown,Yellow,Unknown,Unknown,Unknown,Unknown,3.5-4,"Vitreous, Sub-Vitreous",Yellow,Transparent,3.91,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Radioactive
Altisite,Minerals,Unknown,Na3K6Ti2Al2Si8O26Cl3,Unknown,Unknown,Unknown,Unknown,Colourless,Unknown,Unknown,None Observed,Conchoidal,6,Vitreous,White,Unknown,2.64,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Alum-(K),Sulfate mineral,Pa3,KAl(SO4)2·12(H2O),Unknown,Cubic,Diploidal (m3)H-M symbol: (2/m3),Unknown,"Colorless, white","Stalactitic, columnar, granular, massive efflorescences; rare as small octahedral crystals",Rare on {111},On {111} indistinct,Conchoidal,2-2.5,Vitreous,Unknown,Transparent,1.757,Isotropic,n=1.453,Unknown,Unknown,Unknown,Water soluble,Unknown,Unknown
Alum-(Na),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Aluminite,Sulfate mineral,P21/c,Al2SO4(OH)4·7H2O,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,White to grayish white,Needles and fibrous masses,Unknown,None,Irregular/uneven,1 - 2,Dull to earthy,White,"Translucent, opaque if massive",1.66–1.82,Biaxial (+),nα= 1.459 nβ= 1.464 nγ= 1.470,δ = 0.011,Unknown,Unknown,Unknown,Unknown,Unknown
Aluminium,Unknown,group 13 (boron group),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"933.47K​(660.32 °C, ​1220.58 °F)",Unknown,Unknown,Unknown
Aluminoceladonite,Phyllosilicateminerals,"Micagroup, dioctahedral mica group,celadonitesubgroup","K(Mg,Fe2+)Al(Si4O10)(OH)2",Unknown,Monoclinic,2/m,Unknown,"Colorless when pure, green when ferrous iron-bearing",Unknown,Unknown,Unknown,Micaceous,Unknown,Unknown,Unknown,Unknown,Unknown,Biaxial (-),Unknown,0.0190-0.0240,Unknown,Unknown,Unknown,Unknown,Unknown
Aluminocopiapite,Minerals,Unknown,Al2/3Fe3+4(SO4)6(OH)2·20H2O,Unknown,Unknown,Unknown,Unknown,Pale lemon-yellow to deep yellow,Unknown,Unknown,Unknown,Unknown,2-3,Vitreous,Unknown,"Transparent, Translucent",2.163,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Alumohydrocalcite,Minerals,Unknown,CaAl2(CO3)2(OH)4·4H2O,Unknown,Unknown,Unknown,Unknown,"Chalky white to pale blue, pale yellow, cream, gray; pale rose or brownish pink to dark violet in Cr-bearing varieties",Unknown,Unknown,Unknown,Unknown,2.5,Unknown,Unknown,"Transparent, Translucent, Opaque",2.21 - 2.24,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Alunite,Sulfate minerals,R3m,KAl3(SO4)2(OH)6,Unknown,Trigonal,Hexagonal scalenohedral (3m)Space group: (32/m),Unknown,"Yellow, red, to reddish brown, colorless if pure; may be white, pale shades of gray","fibrous to columnar, porcelaneous, commonly granular to dense massive",Unknown,"On {0001}, perfect",Conchoidal,3.5 – 4,"Vitreous, somewhat pearly on {0001} for crystals, earthy if massive",White,Transparent to translucent,2.6 – 2.9,Uniaxial (+),nω= 1.572 nε= 1.592,δ = 0.020,Unknown,Unknown,Unknown,Unknown,StronglypyroelectricRadioactive9.44% (K)
Alunogen,Sulfate minerals,P1,Al2(SO4)3·17H2O,Unknown,Triclinic,Pinacoidal (1)(sameH-M symbol),Unknown,Unknown,"Platy to prismatic crystals rare, fibrous masses, crusts, and efflorescences",On {010},"Perfect on {010}, probable on {100} and {313}",Subconchoidal,1.5–2,Unknown,Unknown,Transparent,1.72–1.77,Biaxial (+),nα= 1.473 nβ= 1.474 nγ= 1.480,δ = 0.007,Unknown,Unknown,Unknown,Unknown,Unknown
Alvanite,Minerals,Unknown,"(Zn,Ni)Al4(V5+O3)2(OH)12·2H2O",Unknown,Unknown,Unknown,Unknown,Pale bluish green to bluish black,Unknown,Unknown,Unknown,Micaceous,3-3.5,"Vitreous, Pearly",White,Translucent,2.49,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Amakinite,Minerals,Unknown,Unknown,Unknown,Trigonal,Unknown,Unknown,"Pale green to yellow-green; rapidly turns brown when exposed to air, due to formation of Fe(OH)3",Unknown,Unknown,Poor/Indistinct,Irregular/Uneven,3.5-4,Unknown,Unknown,Unknown,2.925 - 2.98,Uniaxial,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Amarantite,Sulfate minerals,P1,Fe3+2O(SO4)2·7H2O,Unknown,Triclinic,Pinacoidal (1)(sameH-M symbol),Unknown,"Amaranth-red to brownish red, orange-red",As radiating or matted aggregates of needles; may be columnar or bladed,Unknown,Perfect on {010} and {100},Unknown,2+1⁄2,Vitreous,Lemon-yellow,Transparent,2.189–2.286,Biaxial (−),nα= 1.516 nβ= 1.598 nγ= 1.621,δ = 0.105,X = colorless; Y = pale yellow; Z = reddish brown,Unknown,Unknown,Unknown,Unknown
Amblygonite,Phosphate minerals,C1,"(Li,Na)AlPO4(F,OH)",Unknown,Triclinic,Pinacoidal (1)(sameH-M symbol),Unknown,"Generally white or creamy, but can also be colorless or pale yellow, green, blue, beige, gray, brown or pink.",Prismatic to columnar form,Microscopic polysynthetic twinning common,"[100] Perfect, [110] good, [011] distinct","Irregular/ineven, sub-Conchoidal",5.5–6[2],greasy to vitreous (in gem material)[2],Unknown,Unknown,2.98–3.11,"Double refractive, biaxial, may be either positive or negative[2]","na=1.577 – 1.591,nb=1.592 – 1.605,nc=1.596 – 1.613",.020 – .027[2],weak to none[2],Unknown,Unknown,Unknown,Unknown
Ameghinite,Nesoborates,C2/c,NaB3O3(OH)4,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Amesite,Phyllosilicateminerals,C1,Mg2Al2SiO5(OH)4,Unknown,Triclinic,Pedial (1)(sameH-M symbol),Unknown,"White, colorless, pink to lilac, pale green",Crystals form as platy to tapering elongated pseudohexagonal prisms,Common as six-fold sector twins on {001} and polysynthetic twins parallel to {010},Perfect on {001},Unknown,2.5–3,Pearly,White with pale green tint,Transparent to translucent,2.77,Biaxial (+),nα= 1.597 nβ= 1.599 nγ= 1.615,δ = 0.018,Unknown,Unknown,Unknown,Unknown,Kaolinite-serpentine group
Amicite,Tectosilicateminerals,I2,690.51 g/mol,Unknown,Monoclinic,Sphenoidal (2)(sameH-M symbol),Unknown,Colorless,Unknown,none,none,Conchoidal,Unknown,Vitreous,White,Transparent,2.18,Biaxial,"na = 1.485, nb = 1.490, nc = 1.495",0.01,Unknown,Unknown,Unknown,Unknown,Unknown
Aminoffite,Silicate mineral,Unknown,"Ca2(Be,Al)(Si2O7)(H2O,OH)",Unknown,Tetragonal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.5–6.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Ammineite,Chloride mineral,Cmcm,CuCl2(NH3)2,Unknown,Orthorhombic,Dipyramidal (mmm)H-M symbol: (2/m 2/m 2/m),Unknown,Blue,Hypidiomorphic crystals; powdery masses,Unknown,Unknown,Unknown,1,Vitreous,Light blue,Unknown,2.38 (calculated),Unknown,Unknown,Unknown,Dark blue to light blue,Unknown,Unknown,Unknown,Unknown
Analcime,Tectosilicateminerals,Ibca,220.15,Unknown,Orthorhombic,Dipyramidal (mmm)H-M symbol: (2/m 2/m 2/m),Unknown,"White, colorless, gray, pink, greenish, yellowish","Typically in crystals, usually trapezohedrons, also massive to granular.","Polysynthetic on [001], [110]","Indistinct on {001}, {010}, {100}",Uneven to subconchoidal,5–5.5,Vitreous,White,Transparent to subtransparent to translucent,2.24–2.29,Isotropic; anomalously biaxial (−),n = 1.479–1.493,Unknown,None,Unknown,Unknown,Unknown,Weakly piezoelectric and pyroelectric; weakly electrostatic when rubbed or heated
Anandite,Phyllosilicateminerals,C2/m,"(Ba,K)(Fe2+,Mg)3(Si,Al,Fe)4O10(S,OH)2",Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,Black,"Massive, prismatic crystals poorly formed produce hexagonal outline cleavage fragments",Unknown,Perfect on {001},Flexible fragments,3 – 4,Vitreous,Grey white,Nearly opaque,3.94,Biaxial (+),nα= 1.855 nγ= 1.880,Unknown,Y = green; Z = brown,Unknown,Unknown,Unknown,Unknown
Anapaite,Phosphate minerals,TriclinicH-M symbol: (1)Space group: P1,Ca2Fe2+(PO4)2·4H2O,Unknown,Triclinic,Pinacoidal (1),Unknown,"Green, greenish white to colorless","Tabular to bladed crystals, radiating clusters, incrustations, fibrous, and in nodules",Unknown,"Perfect on {001}, distinct on {010}",Unknown,3.5,Vitreous,White,Transparent,2.8,Biaxial (+),"nα=1.602, nβ=1.613, nγ=1.649",δ = 0.047,Not visible,Unknown,Unknown,Unknown,Unknown
Anatase,Oxide minerals,I41/amd,79.88 g/mol,Unknown,Tetragonal,Ditetragonal dipyramidal (4/mmm)H-M symbol: (4/m 2/m 2/m),Unknown,"Black, reddish to yellowish brown, dark blue, gray","Pyramidal (crystals are shaped like pyramids), tabular (form dimensions are thin in one direction).",Rare on {112},Perfect on [001] and [011],Subconchoidal,5.5–6,"Adamantine to splendent, metallic",Pale yellowish white,Transparent to nearly opaque,3.79–3.97,"Uniaxial (−), anomalously biaxial in deeply colored crystals","nω= 2.561, nε= 2.488",δ = 0.073,Weak,Unknown,Unknown,Unknown,Unknown
Ancylite,Carbonate mineral,Pmcn,"Sr(Ce,La)(CO3)2(OH)·H2O",Unknown,Orthorhombic,Dipyramidal (mmm)H-M symbol: (2/m 2/m 2/m),Unknown,"Light yellow, orange-yellow, yellow-brown, grey",Unknown,Unknown,None,Splintery,4–4.5,Dull,White,Translucent,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Andalusite,Nesosilicates,Pnnm,Al2SiO5,Unknown,Orthorhombic,Dipyramidal (mmm)H-M symbol: (2/m 2/m 2/m),Unknown,"Pink, violet, yellow, green, white, gray; in thin section, colorless to pink or green",As euhedral crystals or columnar aggregates having nearly square cross sections; fibrous compact to massive,"On {101}, rare","Good on {110}, poor on {100}",uneven to subconchoidal,6.5–7.5,Vitreous,White,Transparent to nearly opaque with inclusions,3.17 (± .04),"double refractive, biaxial negative;chiastolitehas anomalous aggregate reaction.[1]",nα= 1.629 – 1.640 nβ= 1.633 – 1.644 nγ= 1.638 – 1.650,δ = 0.009 – 0.010,strongly trichroic,Unknown,Unknown,Unknown,Unknown
Andersonite,Carbonate minerals,R3m,Na2Ca(UO2)(CO3)3·6H2O,Unknown,Trigonal,Hexagonal scalenohedral (3m)H-M symbol: (32/m),Unknown,Bright green to yellow-green,"Rhombohedra, often flattened, pseudocubic; crystalline crusts, granular",Unknown,Unknown,Unknown,2.5,Vitreous,Unknown,Transparent to translucent,2.8,Uniaxial (+),nω= 1.520 nε= 1.540,δ = 0.020,Visible O = colorless E = Light yellow,Unknown,Soluble in water,Unknown,Radioactive
Andesine,Tectosilicateminerals,P1(no. 2),"(Ca,Na)(Al,Si)4O8(Na:Ca = 50:50 to 70:30)",Varietyofalbite,Triclinic,Pinacoidal(1),Unknown,"White, gray, green, yellow, flesh-red","Crystals rare, to 2 cm; commonly massive or granular","Common following albite,pericline, and carlsbad twin laws","Perfect on {001}, good on {010}",Uneven to conchoidal,6 – 6.5,Subvitreous to pearly,White,Transparent to translucent,2.66 – 2.68,Biaxial (+/−),nα= 1.543 – 1.554 nβ= 1.547 – 1.559 nγ= 1.552 – 1.562,δ = 0.009,Unknown,Unknown,Unknown,Unknown,Unknown
Andorite,Sulfosalt mineral,"Pn21a(andorite VI, senandorite)",PbAgSb3S6,Unknown,Orthorhombic,Pyramidal (mm2)H-M symbol: (mm2),Unknown,"Dark steel-gray, may tarnish yellow or iridescent; white in polished section","Crystals stout prismatic to tabular on {100}, striations parallel to [001]; massive",On {110},none observed,conchoidal,3 – 3.5,metallic,Black,Opaque,5.33 – 5.37,anisotropic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Andradite,Garnetgroup,Ia3d,Ca3Fe2(SiO4)3,Unknown,Cubic,Hexoctahedral (m3m)H-M symbol: (4/m32/m),Unknown,"Yellow, greenish yellow to emerald-green, dark green; brown, brownish red, brownish yellow; grayish black, black; may be sectored","Commonly well-crystallized dodecahedra, trapezohedra, or combinations, also granular to massive",Unknown,none,conchoidal to uneven,6.5 to 7,"Adamantine to resinous, dull",White,Transparent to translucent,3.859 calculated; 3.8–3.9 measured,"Isotropic, typically weakly anisotropic",n = 1.887,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Andrianovite,"Silicate mineral,Cyclosilicate",R3m,"Na12(K,Sr,Ce)3Ca6Mn3Zr3Nb(Si25O73)(O,H2O,OH)5(original form)",Unknown,Trigonal,Ditrigonal pyramidal (3m)H-M symbol: (3m),Unknown,Light yellow,intergrowths (rims) with eudialyte,Unknown,"(001), imperfect",Step-like,5,Vitreous,White,Transparent,Unknown,Uniaxial (−),"nω = 1.62, nε = 1.62 (approximated)",Unknown,None,Unknown,Unknown,"Sr, Ce, Fe",Unknown
Andychristyite,Minerals,Unknown,PbCu2+Te6+O5H2O,Unknown,Unknown,Unknown,Unknown,Bluish green,Unknown,Unknown,Unknown,Unknown,2-3,Adamantine,very pale bluish green,Transparent,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Andyrobertsite,Arsenate mineral,P21/m,KCdCu5(AsO4)4(H2AsO4)·2H2O,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,Blue,Platy,Unknown,{100} good,Unknown,3,Vitreous,Pale blue,Transparent,4,Biaxial (-),"nα= 1.72, nβ= 1.749, nγ= 1.757",δ = 0.037,Unknown,Unknown,Unknown,Unknown,Unknown
Anglesite,Sulfate minerals,Pnma,PbSO4,Unknown,Orthorhombic,Dipyramidal (mmm)H-M symbol: (2/m 2/m 2/m),Unknown,"Colorless to white, commonly tinted gray; orange, yellow, green, blue, rarely violet","Granular, banded, nodular to stalactitic",Unknown,"[001] good, [210] distinct",Conchoidal,2.5–3.0,"Adamantine crystals, dull when massive earthy",White,Transparent to translucent,6.3,Biaxial (+),nα= 1.878nβ= 1.883nγ= 1.895,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Anhydrite,Sulfate mineral,Amma,CaSO4,Unknown,Orthorhombic,Dipyramidal (mmm)H–M symbol: (⁠2/m⁠⁠2/m⁠⁠2/m⁠),Unknown,"Colorless to pale blue or violet if transparent; white, mauve, rose, pale brown or gray from included impurities","Rare tabular and prismatic crystals. Usually occurs as fibrous, parallel veins that break off into cleavage fragments. Also occurs as grainy, massive, or nodular masses",Simple or repeatedly on {011} common; contact twins rare on {120},"[010] perfect[100] perfect[001] good, resulting in pseudocubic fragments",Conchoidal,3.5,Pearly on {010}vitreous to greasy on {001}vitreous on {100},White,Transparent to translucent,2.97,Biaxial (+),nα= 1.567–1.574nβ= 1.574–1.579nγ= 1.609–1.618,δ= 0.042–0.044,For violet varietiesX= colorless to pale yellow or roseY= pale violet or roseZ= violet.,Unknown,Unknown,Unknown,Some specimens fluoresce; many more fluoresce after heating
